,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ
183,8.87,0.57,5.4,-0.11,0.05,-0.01
184,8.88,0.57,5.4,-0.11,0.05,-0.01
185,8.88,0.57,5.39,-0.11,0.05,-0.01
186,8.88,0.57,5.39,-0.11,0.05,-0.01
187,8.88,0.57,5.39,-0.11,0.05,-0.01
188,8.88,0.57,5.38,-0.11,0.05,-0.01
189,8.89,0.57,5.38,-0.11,0.05,-0.01
190,8.89,0.57,5.37,-0.11,0.06,-0.01
191,8.89,0.57,5.37,-0.11,0.06,-0.01
192,8.89,0.57,5.36,-0.11,0.06,-0.01
193,8.9,0.57,5.36,-0.11,0.06,-0.01
194,8.9,0.57,5.35,-0.11,0.06,-0.01
195,8.9,0.57,5.34,-0.11,0.06,-0.01
196,8.91,0.57,5.34,-0.11,0.06,-0.01
197,8.91,0.57,5.33,-0.11,0.06,-0.01
198,8.91,0.57,5.33,-0.11,0.06,-0.01
199,8.91,0.57,5.32,-0.11,0.06,-0.01
