STT,min_AccelX,max_AccelX,mean_AccelX,std_AccelX,frequency_AccelX,min_AccelY,max_AccelY,mean_AccelY,std_AccelY,frequency_AccelY,min_AccelZ,max_AccelZ,mean_AccelZ,std_AccelZ,frequency_AccelZ,min_GyroX,max_GyroX,mean_GyroX,std_GyroX,frequency_GyroX,min_GyroY,max_GyroY,mean_GyroY,std_GyroY,frequency_GyroY,min_GyroZ,max_GyroZ,mean_GyroZ,std_GyroZ,frequency_GyroZ
16,8.81,9.01,8.9101,0.034365535060580675,40.0,1.46,1.63,1.5552000000000001,0.02565073098373613,134.0,5.04,5.24,5.1575,0.032737593069741736,60.0,-0.13,-0.08,-0.11065000000000001,0.007421421696683189,40.0,0.04,0.07,0.055900000000000005,0.0065719099202591015,187.0,-0.02,0.0,-0.011000000000000001,0.005099019513592785,13.0
17,8.82,9.02,8.9159,0.0410632439049815,41.0,1.43,1.62,1.54625,0.027430594233446737,61.0,5.03,5.24,5.15125,0.03287761396452003,61.0,-0.13,-0.08,-0.11095000000000001,0.008282360774561803,41.0,0.02,0.08,0.05585000000000001,0.007763858576764519,7.0,-0.02,0.01,-0.010950000000000001,0.005621165359602935,41.0
18,8.92,9.25,9.009749999999999,0.04360547557360197,38.0,1.39,1.77,1.5223999999999998,0.036989728303949476,49.0,4.83,5.15,4.9924,0.04394587580194525,1.0,-0.15,-0.08,-0.11035000000000002,0.009766140486394816,45.0,0.04,0.09,0.05720000000000001,0.007222188034107114,25.0,-0.03,0.05,-0.010549999999999999,0.009705539655269046,6.0
19,8.89,9.1,8.98985,0.04163505133898597,39.0,1.4,1.6,1.5248999999999997,0.02865292306205427,39.0,4.93,5.09,5.01485,0.029137218467108292,32.0,-0.13,-0.08,-0.11095000000000001,0.008578898530697281,45.0,0.04,0.07,0.05615000000000001,0.0064558113355332805,187.0,-0.02,0.01,-0.01145,0.006033034062559236,161.0
20,8.9,9.08,8.9846,0.03675377531628552,42.0,1.41,1.59,1.5186000000000002,0.02755068057235613,36.0,4.9,5.13,5.0316,0.0321937882207111,36.0,-0.13,-0.09,-0.11040000000000003,0.006916646586316232,42.0,0.04,0.07,0.056500000000000015,0.006062177826491069,6.0,-0.02,0.01,-0.0111,0.005458021619598076,36.0
21,8.88,9.08,8.98225,0.03786076465154923,43.0,1.39,1.58,1.5092,0.02938298827553116,145.0,4.9,5.16,5.0401,0.03379334253961859,61.0,-0.15,-0.08,-0.11170000000000002,0.008130805618141414,37.0,0.03,0.08,0.05530000000000001,0.006701492371106602,6.0,-0.03,0.0,-0.01125,0.005910795208768444,37.0
22,8.88,9.09,8.98225,0.039942928034884924,39.0,1.37,1.56,1.4953,0.02721966201112719,39.0,4.94,5.14,5.04235,0.03349593258889802,39.0,-0.13,-0.08,-0.1105,0.007599342076785331,45.0,0.04,0.07,0.05715000000000001,0.00695539359058853,6.0,-0.03,0.01,-0.0111,0.00563826214360418,32.0
23,8.93,9.13,9.0282,0.03850662280699256,165.0,1.54,1.74,1.6720999999999997,0.027451593760654404,58.0,4.77,4.98,4.901050000000001,0.035332669018912265,144.0,-0.14,-0.09,-0.11045000000000002,0.008142327677022092,44.0,0.03,0.07,0.05525,0.007545694136393285,44.0,-0.03,-0.0,-0.01115,0.005116395215383581,165.0
24,9.74,9.99,9.850299999999999,0.04957731336004404,39.0,1.22,1.5,1.35365,0.038212268972150784,147.0,2.8,3.17,2.994,0.0524213696883246,40.0,-0.14,-0.04,-0.10630000000000002,0.014707481089567988,1.0,0.02,0.08,0.05490000000000002,0.009694843990493092,7.0,-0.03,0.03,-0.010399999999999998,0.008534635317340748,40.0
25,9.72,10.01,9.8508,0.04337464697262677,41.0,1.22,1.46,1.3451999999999997,0.032217386610338204,34.0,2.85,3.15,3.0020000000000007,0.04590206967011397,34.0,-0.14,-0.07,-0.11130000000000002,0.010784711400867434,41.0,0.04,0.07,0.056700000000000014,0.008313242448046371,193.0,-0.04,0.01,-0.011700000000000002,0.0073559499726411955,48.0
