STT,min_AccelX,max_AccelX,mean_AccelX,std_AccelX,frequency_AccelX,min_AccelY,max_AccelY,mean_AccelY,std_AccelY,frequency_AccelY,min_AccelZ,max_AccelZ,mean_AccelZ,std_AccelZ,frequency_AccelZ,min_GyroX,max_GyroX,mean_GyroX,std_GyroX,frequency_GyroX,min_GyroY,max_GyroY,mean_GyroY,std_GyroY,frequency_GyroY,min_GyroZ,max_GyroZ,mean_GyroZ,std_GyroZ,frequency_GyroZ
16,8.64,9.01,8.777000000000001,0.08111719916269294,199.0,0.79,1.07,0.9579,0.04258626539155552,1.0,5.15,5.76,5.51,0.12347469376354003,1.0,-0.14,-0.06,-0.11115000000000003,0.01192382069640432,1.0,0.0,0.12,0.05505000000000001,0.022825369657466666,2.0,-0.02,-0.0,-0.011600000000000001,0.005782732917920384,7.0
17,8.64,9.05,8.8061,0.08754307511162714,1.0,0.83,1.07,0.937,0.03847076812334268,1.0,5.1,5.76,5.46435,0.135434772122967,1.0,-0.14,-0.07,-0.11205000000000002,0.012541830010010501,1.0,-0.01,0.13,0.049350000000000005,0.026364322483234802,1.0,-0.02,0.01,-0.0111,0.005548873759602033,36.0
18,8.64,9.02,8.8026,0.08117413381120846,1.0,0.78,1.05,0.92715,0.04067403963217815,1.0,5.16,5.73,5.473900000000001,0.12309666932943394,1.0,-0.14,-0.07,-0.10940000000000001,0.013252924205623453,1.0,-0.01,0.13,0.06230000000000002,0.02684604253889202,1.0,-0.02,-0.0,-0.011899999999999999,0.006195966429863867,44.0
19,8.66,9.0,8.7863,0.07245902290260332,2.0,0.77,1.06,0.93515,0.0387166307934975,198.0,5.11,5.72,5.498700000000001,0.1075746717401452,2.0,-0.14,-0.08,-0.11275000000000002,0.012407155193677558,2.0,-0.01,0.13,0.0502,0.024330228112370834,2.0,-0.02,0.01,-0.0114,0.006003332407921453,13.0
20,8.66,9.02,8.8039,0.08453277470898489,2.0,0.75,1.07,0.9281,0.04342107783093367,1.0,5.19,5.74,5.467450000000001,0.1296687992540997,198.0,-0.14,-0.07,-0.10980000000000001,0.012687001221722964,155.0,0.0,0.14,0.06070000000000001,0.02850456103854259,3.0,-0.03,-0.0,-0.01225,0.006036348233824818,42.0
21,8.64,9.05,8.79035,0.08855155278141648,1.0,0.78,1.03,0.9312999999999999,0.043258640755345044,1.0,5.09,5.73,5.4935,0.13070099464043874,199.0,-0.15,-0.04,-0.11135000000000002,0.01377234547925661,40.0,0.01,0.16,0.054300000000000015,0.02450530554798287,2.0,-0.04,0.01,-0.01135,0.0064558113355332805,47.0
22,8.66,9.05,8.8388,0.09748107508639815,1.0,0.76,1.01,0.9113,0.03814852552851813,1.0,5.0,5.73,5.409299999999999,0.1531910898192189,1.0,-0.14,-0.06,-0.11255000000000001,0.01204149077149503,1.0,-0.01,0.13,0.049249999999999995,0.028123611076815862,1.0,-0.03,-0.0,-0.011200000000000002,0.005617828762075256,186.0
23,8.58,8.97,8.709449999999999,0.06963617953334313,1.0,0.93,1.18,1.07155,0.04058444899219404,199.0,5.22,5.77,5.592149999999999,0.09833553528608056,1.0,-0.14,-0.06,-0.11120000000000001,0.012552290627610563,1.0,0.0,0.12,0.056000000000000015,0.01977371993328519,2.0,-0.03,0.01,-0.011600000000000001,0.006280127387243032,13.0
24,8.66,9.09,8.82655,0.10117112977524761,199.0,0.76,1.02,0.91045,0.04130735406680025,1.0,5.11,5.74,5.4302,0.15958997462246804,1.0,-0.14,-0.07,-0.11040000000000001,0.012483589227461785,158.0,-0.01,0.15,0.06350000000000001,0.033641492238008705,1.0,-0.03,0.01,-0.012500000000000002,0.006461423991660042,42.0
25,8.61,9.03,8.80315,0.08780419978565937,2.0,0.76,1.06,0.91315,0.039084235952619055,2.0,5.08,5.71,5.4743,0.1325877445316874,2.0,-0.15,-0.06,-0.11185000000000002,0.013493609598621118,2.0,-0.02,0.14,0.05050000000000001,0.029828677476549312,2.0,-0.03,0.02,-0.0114,0.007073895673530957,14.0
26,8.63,9.03,8.788800000000002,0.08643240133190794,2.0,0.77,1.05,0.9183999999999999,0.045314898212398085,2.0,5.07,5.73,5.493150000000001,0.13897329779493614,2.0,-0.14,-0.07,-0.10949999999999999,0.012874393189583732,2.0,-0.01,0.15,0.06190000000000001,0.03274736630631538,3.0,-0.03,0.01,-0.012349999999999998,0.006998392672607046,7.0
